GeneID	Symbol	Name	Disease	Phenotype	Function
57679	ALS2	.	0	0	1
10189	ALYREF	.	0	0	1
259	AMBP	.	0	0	1
262	AMD1	.	0	0	1
144193	AMDHD1	.	0	0	1
267	AMFR	.	0	0	1
268	AMH	.	1	0	1
269	AMHR2	.	1	0	1
9949	AMMECR1	.	0	0	1
83607	AMMECR1L	.	0	0	1
154796	AMOT	.	0	0	1
154810	AMOTL1	.	0	0	1
272	AMPD3	.	0	0	1
279	AMY2A	.	0	0	1
280	AMY2B	.	0	0	1
201283	AMZ2P1	.	0	0	1
64682	ANAPC1	.	0	0	1
10393	ANAPC10	.	0	0	1
51529	ANAPC11	.	0	0	1
25906	ANAPC15	.	0	0	1
119504	ANAPC16	.	0	0	1
29882	ANAPC2	.	0	0	1
29945	ANAPC4	.	0	0	1
51433	ANAPC5	.	0	0	1
51434	ANAPC7	.	0	0	1
283	ANG	.	0	0	1
23357	ANGEL1	.	0	0	1
284	ANGPT1	.	0	0	1
285	ANGPT2	.	0	0	1
9068	ANGPTL1	.	1	0	1
23452	ANGPTL2	.	1	0	1
51129	ANGPTL4	.	0	0	1
55908	ANGPTL8	.	1	0	1
287	ANK2	.	0	0	1
288	ANK3	.	0	0	1
51479	ANKFY1	.	0	0	1
56172	ANKH	.	0	0	1
255239	ANKK1	.	0	0	1
23141	ANKLE2	.	0	0	1
27063	ANKRD1	.	0	0	1
55608	ANKRD10	.	0	0	1
29123	ANKRD11	.	0	0	1
23253	ANKRD12	.	0	0	1
88455	ANKRD13A	.	0	0	1
253650	ANKRD18A	.	0	0	1
84210	ANKRD20A1	.	0	0	1
391267	ANKRD20A11P	.	0	0	1
100132733	ANKRD20A13P	.	0	0	1
441430	ANKRD20A2	.	0	0	1
441425	ANKRD20A3	.	0	0	1
728747	ANKRD20A4	.	0	0	1
653436	ANKRD20A7P	.	0	0	1
729171	ANKRD20A8P	.	0	0	1
284232	ANKRD20A9P	.	0	0	1
118932	ANKRD22	.	0	0	1
84079	ANKRD27	.	0	0	1
23243	ANKRD28	.	0	0	1
147463	ANKRD29	.	0	0	1
375248	ANKRD36	.	0	0	1
57730	ANKRD36B	.	0	0	1
645784	ANKRD36BP2	.	0	0	1
51239	ANKRD39	.	0	0	1
91369	ANKRD40	.	0	0	1
338699	ANKRD42	.	0	0	1
339416	ANKRD45	.	0	0	1
157567	ANKRD46	.	0	0	1
57182	ANKRD50	.	0	0	1
79722	ANKRD55	.	0	0	1
122416	ANKRD9	.	0	0	1
23294	ANKS1A	.	0	0	1
55139	ANKZF1	.	0	0	1
54443	ANLN	.	1	0	1
55129	ANO10	.	0	0	1
57101	ANO2	.	0	0	1
121601	ANO4	.	0	0	1
196527	ANO6	.	0	0	1
3730	ANOS1	.	0	1	1
8125	ANP32A	.	0	0	1
10541	ANP32B	.	0	0	1
81611	ANP32E	.	0	0	1
118429	ANTXR2	.	1	1	1
301	ANXA1	.	0	0	1
11199	ANXA10	.	0	0	1
311	ANXA11	.	0	0	1
302	ANXA2	.	0	0	1
303	ANXA2P1	.	0	0	1
304	ANXA2P2	.	0	0	1
306	ANXA3	.	0	0	1
307	ANXA4	.	0	0	1
308	ANXA5	.	1	0	1
309	ANXA6	.	0	0	1
310	ANXA7	.	0	0	1
313	AOAH	.	0	0	1
314	AOC2	.	0	0	1
8639	AOC3	.	0	0	1
84909	AOPEP	.	1	0	1
316	AOX1	.	0	0	1
162	AP1B1	.	0	0	1
8906	AP1G2	.	0	0	1
10053	AP1M2	.	0	0	1
1174	AP1S1	.	0	0	1
8905	AP1S2	.	0	0	1
130340	AP1S3	.	0	0	1
160	AP2A1	.	0	0	1
161	AP2A2	.	0	0	1
163	AP2B1	.	0	0	1
1173	AP2M1	.	0	0	1
1175	AP2S1	.	0	0	1
8943	AP3D1	.	0	0	1
26985	AP3M1	.	0	0	1
10947	AP3M2	.	0	0	1
10239	AP3S2	.	0	0	1
23431	AP4E1	.	0	0	1
11154	AP4S1	.	0	0	1
55745	AP5M1	.	0	0	1
9907	AP5Z1	.	0	0	1
320	APBA1	.	0	0	1
9546	APBA3	.	0	0	1
322	APBB1	.	0	0	1
323	APBB2	.	0	0	1
10307	APBB3	.	0	0	1
324	APC	.	0	0	1
147495	APCDD1	.	0	0	1
164284	APCDD1L	.	0	0	1
325	APCS	.	0	0	1
327	APEH	.	0	0	1
328	APEX1	.	1	0	1
51107	APH1A	.	0	0	1
83464	APH1B	.	0	0	1
8539	API5	.	0	0	1
51074	APIP	.	0	0	1
378708	APITD1	.	0	0	1
8862	APLN	.	1	0	1
187	APLNR	.	0	0	1
334	APLP2	.	0	0	1
57136	APMAP	.	0	0	1
335	APOA1	.	1	0	1
336	APOA2	.	0	0	1
337	APOA4	.	0	0	1
116519	APOA5	.	0	0	1
338	APOB	.	1	0	1
9582	APOBEC3B	.	0	0	1
60489	APOBEC3G	.	0	0	1
55911	APOBR	.	0	0	1
341	APOC1	.	1	0	1
345	APOC3	.	0	0	1
347	APOD	.	0	0	1
348	APOE	.	1	0	1
350	APOH	.	0	0	1
8542	APOL1	.	0	0	1
23780	APOL2	.	0	0	1
80832	APOL4	.	0	0	1
81575	APOLD1	.	0	0	1
79135	APOO	.	0	0	1
139322	APOOL	.	0	0	1
84334	APOPT1	.	0	0	1
351	APP	.	0	0	1
10513	APPBP2	.	0	0	1
26060	APPL1	.	1	1	1
55198	APPL2	.	0	0	1
353	APRT	.	1	0	1
359	AQP2	.	0	0	1
360	AQP3	.	0	0	1
147429	AQP4-AS1	.	0	0	1
362	AQP5	.	0	0	1
375719	AQP7P1	.	0	0	1
343	AQP8	.	1	0	1
366	AQP9	.	1	0	1
367	AR	.	1	1	1
116985	ARAP1	.	0	0	1
116984	ARAP2	.	0	0	1
64411	ARAP3	.	0	0	1
23237	ARC	.	0	0	1
372	ARCN1	.	0	0	1
374	AREG	.	1	0	1
375	ARF1	.	0	0	1
378	ARF4	.	0	0	1
381	ARF5	.	0	0	1
84364	ARFGAP2	.	0	0	1
26286	ARFGAP3	.	0	0	1
10564	ARFGEF2	.	0	0	1
57221	ARFGEF3	.	0	0	1
27236	ARFIP1	.	0	0	1
384	ARG2	.	0	0	1
55082	ARGLU1	.	0	0	1
392	ARHGAP1	.	0	0	1
9824	ARHGAP11A	.	0	0	1
55843	ARHGAP15	.	0	0	1
93663	ARHGAP18	.	0	0	1
84986	ARHGAP19	.	0	0	1
57569	ARHGAP20	.	0	0	1
57584	ARHGAP21	.	0	0	1
58504	ARHGAP22	.	0	0	1
57636	ARHGAP23	.	1	0	1
83478	ARHGAP24	.	0	0	1
9938	ARHGAP25	.	0	0	1
23092	ARHGAP26	.	0	0	1
146880	ARHGAP27P1	.	0	0	1
79822	ARHGAP28	.	0	0	1
9411	ARHGAP29	.	0	0	1
257106	ARHGAP30	.	1	0	1
57514	ARHGAP31	.	0	0	1
115703	ARHGAP33	.	0	0	1
2909	ARHGAP35	.	0	0	1
80728	ARHGAP39	.	0	0	1
393	ARHGAP4	.	0	0	1
143872	ARHGAP42	.	0	0	1
394	ARHGAP5	.	0	0	1
395	ARHGAP6	.	0	0	1
64333	ARHGAP9	.	1	0	1
396	ARHGDIA	.	0	0	1
397	ARHGDIB	.	0	0	1
9639	ARHGEF10	.	0	0	1
55160	ARHGEF10L	.	0	0	1
27237	ARHGEF16	.	0	0	1
9181	ARHGEF2	.	0	0	1
26084	ARHGEF26	.	0	0	1
64283	ARHGEF28	.	0	0	1
50650	ARHGEF3	.	0	0	1
84904	ARHGEF39	.	0	0	1
50649	ARHGEF4	.	0	0	1
7984	ARHGEF5	.	0	0	1
8874	ARHGEF7	.	1	0	1
8289	ARID1A	.	0	1	1
57492	ARID1B	.	1	1	1
1820	ARID3A	.	0	0	1
51742	ARID4B	.	1	0	1
84159	ARID5B	.	0	0	1
25820	ARIH1	.	0	0	1
10425	ARIH2	.	0	0	1
80117	ARL14	.	0	0	1
339231	ARL16	.	0	0	1
51326	ARL17A	.	0	0	1
403	ARL3	.	0	1	1
379	ARL4D	.	0	0	1
26225	ARL5A	.	0	0	1
221079	ARL5B	.	0	0	1
23204	ARL6IP1	.	0	0	1
51329	ARL6IP4	.	0	0	1
10550	ARL6IP5	.	0	0	1
127829	ARL8A	.	0	0	1
55207	ARL8B	.	0	0	1
55156	ARMC1	.	0	0	1
83787	ARMC10	.	0	0	1
84071	ARMC2	.	0	0	1
55130	ARMC4	.	0	0	1
79798	ARMC5	.	0	1	1
79637	ARMC7	.	0	0	1
25852	ARMC8	.	0	0	1
80210	ARMC9	.	0	0	1
51309	ARMCX1	.	0	0	1
51566	ARMCX3	.	0	0	1
54470	ARMCX6	.	0	0	1
405	ARNT	.	0	0	1
406	ARNTL	.	1	0	1
56938	ARNTL2	.	0	0	1
10552	ARPC1A	.	0	0	1
10109	ARPC2	.	0	0	1
10094	ARPC3	.	0	0	1
10093	ARPC4	.	0	0	1
10092	ARPC5	.	0	0	1
348110	ARPIN	.	0	0	1
10776	ARPP19	.	0	0	1
10777	ARPP21	.	0	0	1
92714	ARRDC1	.	0	0	1
57561	ARRDC3	.	0	0	1
91947	ARRDC4	.	0	0	1
410	ARSA	.	0	0	1
411	ARSB	.	0	1	1
414	ARSD	.	1	0	1
153642	ARSK	.	0	0	1
64801	ARV1	.	0	0	1
57412	AS3MT	.	0	0	1
427	ASAH1	.	0	0	1
50807	ASAP1	.	0	0	1
29065	ASAP1-IT1	.	0	0	1
8853	ASAP2	.	0	0	1
79754	ASB13	.	0	0	1
142686	ASB14	.	0	0	1
92591	ASB16	.	0	0	1
51130	ASB3	.	0	0	1
140461	ASB8	.	0	0	1
140462	ASB9	.	0	0	1
51008	ASCC1	.	0	0	1
84164	ASCC2	.	0	0	1
10973	ASCC3	.	0	0	1
429	ASCL1	.	0	0	1
430	ASCL2	.	0	0	1
25842	ASF1A	.	0	0	1
55723	ASF1B	.	0	0	1
55870	ASH1L	.	0	0	1
645676	ASH1L-AS1	.	0	0	1
9070	ASH2L	.	0	0	1
40	ASIC2	.	0	0	1
9311	ASIC3	.	0	0	1
8623	ASMTL	.	0	0	1
439	ASNA1	.	0	0	1
440	ASNS	.	0	0	1
444	ASPH	.	0	0	1
253982	ASPHD1	.	0	0	1
57168	ASPHD2	.	0	0	1
259266	ASPM	.	1	0	1
79058	ASPSCR1	.	0	0	1
80150	ASRGL1	.	0	0	1
445	ASS1	.	0	0	1
55252	ASXL2	.	0	0	1
84896	ATAD1	.	1	0	1
29028	ATAD2	.	0	0	1
55210	ATAD3A	.	0	0	1
83858	ATAD3B	.	0	0	1
79915	ATAD5	.	0	0	1
11101	ATE1	.	0	0	1
466	ATF1	.	1	0	1
467	ATF3	.	0	0	1
468	ATF4	.	1	0	1
22926	ATF6	.	1	0	1
1388	ATF6B	.	0	0	1
11016	ATF7	.	0	0	1
55729	ATF7IP	.	0	0	1
80063	ATF7IP2	.	0	0	1
83734	ATG10	.	0	0	1
9140	ATG12	.	0	0	1
9776	ATG13	.	0	0	1
89849	ATG16L2	.	0	0	1
55102	ATG2B	.	0	0	1
23192	ATG4B	.	0	0	1
9474	ATG5	.	0	0	1
10533	ATG7	.	0	0	1
80162	ATHL1	.	0	0	1
470	ATHS	.	0	0	1
64225	ATL2	.	0	0	1
25923	ATL3	.	0	0	1
472	ATM	.	1	1	1
1822	ATN1	.	1	0	1
84913	ATOH8	.	0	0	1
475	ATOX1	.	0	0	1
57205	ATP10D	.	0	0	1
23250	ATP11A	.	0	0	1
23200	ATP11B	.	0	0	1
479	ATP12A	.	0	0	1
23400	ATP13A2	.	0	0	1
79572	ATP13A3	.	0	0	1
344905	ATP13A5	.	0	0	1
476	ATP1A1	.	0	0	1
477	ATP1A2	.	0	0	1
481	ATP1B1	.	0	0	1
483	ATP1B3	.	0	0	1
488	ATP2A2	.	0	0	1
490	ATP2B1	.	0	0	1
338758	ATP2B1-AS1	.	0	0	1
493	ATP2B4	.	0	0	1
27032	ATP2C1	.	0	0	1
513	ATP5D	.	0	0	1
514	ATP5E	.	0	0	1
498	ATP5F1A	.	0	0	1
506	ATP5F1B	.	1	0	1
509	ATP5F1C	.	0	0	1
517	ATP5G2	.	0	0	1
518	ATP5G3	.	0	0	1
10476	ATP5H	.	0	0	1
521	ATP5I	.	0	0	1
522	ATP5J	.	0	0	1
10632	ATP5L	.	0	0	1
516	ATP5MC1	.	0	0	1
84833	ATP5MD	.	0	0	1
521	ATP5ME	.	0	0	1
9556	ATP5MPL	.	0	0	1
515	ATP5PB	.	0	0	1
539	ATP5PO	.	0	0	1
55101	ATP5SL	.	0	0	1
537	ATP6AP1	.	0	0	1
10159	ATP6AP2	.	0	0	1
535	ATP6V0A1	.	0	0	1
533	ATP6V0B	.	0	0	1
9114	ATP6V0D1	.	0	0	1
8992	ATP6V0E1	.	0	0	1
155066	ATP6V0E2	.	0	0	1
401431	ATP6V0E2-AS1	.	0	0	1
523	ATP6V1A	.	0	1	1
526	ATP6V1B2	.	0	0	1
528	ATP6V1C1	.	0	0	1
245973	ATP6V1C2	.	0	0	1
51382	ATP6V1D	.	0	0	1
9296	ATP6V1F	.	0	0	1
9550	ATP6V1G1	.	0	0	1
534	ATP6V1G2	.	0	0	1
51606	ATP6V1H	.	0	0	1
538	ATP7A	.	0	0	1
51761	ATP8A2	.	0	0	1
5205	ATP8B1	.	0	0	1
79895	ATP8B4	.	0	0	1
10079	ATP9A	.	0	0	1
64756	ATPAF1	.	0	0	1
84126	ATRIP	.	0	0	1
26033	ATRNL1	.	0	1	1
546	ATRX	.	0	0	1
6310	ATXN1	.	0	0	1
25814	ATXN10	.	0	0	1
11273	ATXN2L	.	0	0	1
4287	ATXN3	.	0	0	1
552889	ATXN7L3B	.	0	0	1
549	AUH	.	0	0	1
79000	AUNIP	.	0	0	1
6790	AURKA	.	0	0	1
54998	AURKAIP1	.	0	0	1
9212	AURKB	.	0	0	1
57099	AVEN	.	0	0	1
60370	AVPI1	.	0	0	1
554	AVPR2	.	0	0	1
8312	AXIN1	.	1	0	1
563	AZGP1	.	0	0	1
646282	AZGP1P1	.	0	0	1
64343	AZI2	.	0	0	1
51582	AZIN1	.	0	0	1
567	B2M	.	0	0	1
8707	B3GALT2	.	0	0	1
8705	B3GALT4	.	0	0	1
145173	B3GLCT	.	0	0	1
10678	B3GNT2	.	0	0	1
84002	B3GNT5	.	0	0	1
93010	B3GNT7	.	0	0	1
84752	B3GNT9	.	0	0	1
146712	B3GNTL1	.	0	0	1
2683	B4GALT1	.	0	0	1
8703	B4GALT3	.	0	0	1
8702	B4GALT4	.	0	0	1
9334	B4GALT5	.	0	0	1
9331	B4GALT6	.	0	0	1
11041	B4GAT1	.	0	0	1
27077	B9D1	.	0	0	1
29086	BABAM1	.	0	0	1
23621	BACE1	.	0	0	1
571	BACH1	.	0	0	1
60468	BACH2	.	0	0	1
572	BAD	.	0	0	1
9532	BAG2	.	0	0	1
9529	BAG5	.	0	0	1
7917	BAG6	.	0	0	1
440465	BAIAP2-AS1	.	0	0	1
55971	BAIAP2L1	.	0	0	1
25805	BAMBI	.	0	0	1
8815	BANF1	.	0	0	1
100505506	BANF1P3	.	0	0	1
54971	BANP	.	0	1	1
8314	BAP1	.	0	0	1
124944	BAP18	.	0	0	1
580	BARD1	.	1	0	1
581	BAX	.	0	0	1
11177	BAZ1A	.	1	1	1
9031	BAZ1B	.	0	0	1
29994	BAZ2B	.	0	0	1
